Record,Action,Time,Policy,Enforcement,User,Log Level,From resource name,To resource name,Host,Application,Attributes,,,,,,,,,,,,,,,,,,,
86,Print,7/1/2006,/CE/ProcessPolicy6,Deny,jimmy.carter@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteC/Sitey/InstallerReport.xls,X,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: IT Knowledge Base,,
87,Export,3/1/2008,/CE/ProcessPolicy6,Deny,john.tyler@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteC/Sitey/InstallerReport.xls,SharePoint://Sharepoint2007.qapf.qalab01.nextlabs.com/SiteA/SiteX/InstallerReport.xls,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: IT Knowledge Base,,
88,Copy,8/1/2008,/CE/ProcessPolicy6,Deny,abraham.lincoln@qapf.qalab01nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteC/Sitey/InstallerReport.xls,SharePoint://Sharepoint2007.qapf.qalab01.nextlabs.com/SiteA/SiteX/InstallerReport.xls,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: IT Knowledge Base,,
89,Move,9/1/2008,/CE/ProcessPolicy6,Deny,john.adams@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteC/Sitey/InstallerReport.xls,SharePoint://Sharepoint2007.qapf.qalab01.nextlabs.com/SiteA/SiteX/InstallerReport.xls,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: IT Knowledge Base,,
90,Delete,9/19/2008,/CE/ProcessPolicy6,Deny,john.adams@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteC/Sitey/InstallerReport.xls,X,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: IT Knowledge Base,,
Business Process7:Process1; Site6:pf-https2/sites/SiteD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Move,9/16/2007,/CE/ProcessPolicy7,Deny,abraham.lincoln@qapf.qalab01.nextlabs.com,2,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteD/Sitey/InstallerReport.xls,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/InstallerReport.xls,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\excel.xls,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerReport.xls,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerReport.xls,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:005-30-2007,Format:xls,Keywords:REPORT,Publisher: John.adams,Revision:R1,Source:Final report,Status:Finished,Subject:Installer,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Process1,,
92,Open,10/16/2005,/CE/ProcessPolicy7,Deny,abraham.lincoln@qapf.qalab01.nextlabs.com,2,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteD/Sitey/InstallerTest plan.xls,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\excel.xls,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerTestplan.xls,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerTestplan.xls,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:005-30-2007,Format:xls,Keywords:REPORT,Publisher: John.adams,Revision:R1,Source:Final report,Status:Finished,Subject:Installer,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Process1,,
93,Delete,10/16/2005,/CE/ProcessPolicy7,Deny,abraham.lincoln@qapf.qalab01.nextlabs.com,2,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteD/Sitey/InstallerTest plan.xls,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\excel.xls,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerTestplan.xls,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerTestplan.xls,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:005-30-2007,Format:xls,Keywords:REPORT,Publisher: John.adams,Revision:R1,Source:Final report,Status:Finished,Subject:Installer,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Process1,,
Business Process8:Process2; Site7:pf-https2/sites/SiteE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Print,11/15/2005,/CE/ProcessPolicy8,Allow,abraham.lincoln@qapf.qalab01.nextlabs.com,2,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteE/Sitey/InstallerTest plan.xls,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\excel.xls,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerTestplan.xls,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerTestplan.xls,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:005-30-2007,Format:xls,Keywords:REPORT,Publisher: John.adams,Revision:R1,Source:Final report,Status:Finished,Subject:Installer,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Process2,,
95,Delete,11/15/2005,/CE/ProcessPolicy8,Allow,abraham.lincoln@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteE/ssr.xls,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\excel.xls,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteC/ssr.xls,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteC/ssr.xls,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:005-30-2007,Format:xls,Keywords:REPORT,Publisher: John.adams,Revision:R1,Source:Final report,Status:Finished,Subject:Installer,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Process2,,
Business Process9:Process3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Print,11/15/2006,/CE/ProcessPolicy9,Deny,abraham.lincoln@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/SiteC/bbc.doc,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/SiteC/bbc.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/SiteC/bbc.doc,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:005-30-2007,Format:doc,Keywords:REPORT,Publisher: John.adams,Revision:R1,Source:Final report,Status:Finished,Subject:Installer,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Process3,,
Department7:Department 6;Business Process9:Process3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Open,11/15/2006,/CE/DepartmentAndProcess2,Deny,john.adams@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/qa/xyz.doc,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/qa/xyz.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/qa/xyz.doc,Created by:qapf\Administrator,Modified by:qapf\Administrator,Date Created:12-25-2007,Date Modified:005-30-2007,Format:doc,Keywords:REPORT,Publisher: John.adams,Revision:R1,Source:Final report,Status:Finished,Subject:Installer,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Department:Department6,Obligation: Log SharePoint Control,Business Process: Process3
98,Attach to Item,7/3/2007,/CE/DepartmentAndProcess2,Deny,john.adams@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/qa/reporterFSD.doc,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/qa/reporterFSD.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/qa/reporterFSD.doc,Created by:qapf\Administrator,Modified by:qapf\Administrator,Date Created:12-25-2007,Date Modified:005-30-2007,Format:doc,Keywords:FSD,Publisher: John.adams,Revision:R2,Source:FSD,Status:On-Going,Subject:Reporter,Version:1.2,Custom:~,Obligation: Log SharePoint Control,Department:Department6,Obligation: Log SharePoint Control,Business Process: Process3,,
Department8:Department 7;Business Process9:Process3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Move,7/3/2007,/CE/DepartmentAndProcess3,Deny,chester.arthur@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/SiteX/reporterFSD.doc,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/SiteY/reporterFSD.doc,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/qa/reporterFSD.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/qa/reporterFSD.doc,Created by:qapf\Administrator,Modified by:qapf\Administrator,Date Created:12-25-2007,Date Modified:005-30-2007,Format:doc,Keywords:FSD,Publisher: John.adams,Revision:R2,Source:FSD,Status:On-Going,Subject:Reporter,Version:1.2,Custom:~,Obligation: Log SharePoint Control,Department:Department7,Obligation: Log SharePoint Control,Business Process: Process3,,
Department9:Department 8;Business Process9:Process3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Copy,7/3/2007,/CE/DepartmentAndProcess4,Allow,Gerald.ford@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/SiteX/reporterFSD.doc,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/SiteY/reporterFSD.doc,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/qa/reporterFSD.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Sites/qa/reporterFSD.doc,Created by:qapf\Administrator,Modified by:qapf\Administrator,Date Created:12-25-2007,Date Modified:005-30-2007,Format:doc,Keywords:FSD,Publisher: John.adams,Revision:R2,Source:FSD,Status:On-Going,Subject:Reporter,Version:1.2,Custom:~,Obligation: Log SharePoint Control,Department:Department8,Obligation: Log SharePoint Control,Business Process: Process3,Obligation:Email,Obligation:Log
Department10:Department 9;Business Process10:Process4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Delete,7/3/2008,/CE/DepartmentAndProcess5,Deny,andrew.jackson@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/Sites/SiteY/reporterFSD.doc,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/Sites/qa/reporterFSD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/Sites/qa/reporterFSD.doc,Created by:qapf\Administrator,Modified by:qapf\Administrator,Date Created:12-25-2007,Date Modified:005-30-2007,Format:doc,Keywords:FSD,Publisher: John.adams,Revision:R2,Source:FSD,Status:On-Going,Subject:Reporter,Version:1.2,Custom:~,Obligation: Log SharePoint Control,Department:Department9,Obligation: Log SharePoint Control,Business Process: Process4,Obligation:Email,Obligation:Log
Department11:Department 10;Business Process11:Process5; Site8:Pf-https2/siteG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,open,7/3/2008,/CE/DepartmentAndProcess6,Deny,jimmy.carter@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteG/SiteX/reporterflow.ppt,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/Sites/SiteX/reporterflow.ppt,Title:Powerpoint,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/Sites/SiteX/reporterflow.ppt,Created by:qapf\Administrator,Modified by:qapf\Administrator,Date Created:12-25-2007,Date Modified:005-30-2007,Format:ppt,Keywords:Workflow,Publisher: John.adams,Revision:Draft,Source:Workflow,Status:Scheduled,Subject:Reporter,Version:Draft,Custom:~,Obligation: Log SharePoint Control,Department:Department10,Obligation: Log SharePoint Control,Business Process: Process5,Obligation:Email,Obligation:Log
Inserting logs with no obligations; Site9: PF-https2:Pf-https2/SiteH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Print,2/6/2006,/CE/ProcessPolicy7,Deny,abraham.lincoln@qapf.qalab01.nextlabs.com,2,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteH/Sitey/InstallerTest plan.xls,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\excel.xls,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerTestplan.xls,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerTestplan.xls,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:005-30-2007,Format:doc,Keywords:REPORT,Publisher: John.adams,Revision:R1,Source:Final report,Status:Finished,Subject:Installer,Version:1.1,Custom:~,,,,,,
Inserting logs with irrelavant obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Delete,2/6/2006,/CE/ProcessPolicy7,Deny,abraham.lincoln@qapf.qalab01.nextlabs.com,2,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerTest plan.xls,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                         ,c:\program files\microsoft office\office11\excel.xls,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerTestplan.xls,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/InstallerTestplan.xls,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:005-30-2007,Format:doc,Keywords:REPORT,Publisher: John.adams,Revision:R1,Source:Final report,Status:Finished,Subject:Installer,Version:1.1,Custom:~,Sent To: Jack.smith@fidelity.com,Obligation: Domain Mismatch,Client ID: Fidelity,,,

Department:Engineering; Business Process:Product Development; user2: abraham.lincoln@qapf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Attach to Item,8/17/2005,/CE/Department Policy1,Allow/Monitor,abraham.lincoln@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,X,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,Created by:pf-https2\Administrator,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development,,
106,Create/Edit,2/14/2006,/CE/Department Policy2,Allow/Monitor,abraham.lincoln@qapf.qalab01.nextlabs.com,2,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/c.xls,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
107,Rename,2/14/2007,/CE/Department Policy2,Allow/Monitor,abraham.lincoln@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/c.xls,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
108,Open,12/14/2007,/CE/Department Policy2,Allow/Monitor,abraham.lincoln@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
109,Print,11/14/2007,/CE/Department Policy2,Allow/Monitor,abraham.lincoln@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
110,Export,2/14/2008,/CE/Department Policy2,Allow/Monitor,abraham.lincoln@qapf.qalab01.nextlabs.com,2,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/c.xls,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
111,Copy,8/14/2008,/CE/Department Policy2,Allow/Monitor,abraham.lincoln@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/c.xls,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
112,Move,9/14/2008,/CE/Department Policy2,Allow/Monitor,abraham.lincoln@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/c.xls,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
113,Delete,9/18/2008,/CE/Department Policy2,Deny,abraham.lincoln@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development


Department:Engineering; Business Process:Product Development; user3: john.adams@qapf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
